lote_id,municipio_id,nome_municipio,numero_lote,data_criacao_lote,data_modificacao_lote,imovel,perimetro,area,situacao_juridica,numero_incra,numero_titulo,cadastro_aprovado,distrito,comunidade,localidade,id,area_aproveitavel_nao_ultilizada,area_colhida,area_com_outro_uso_id,area_explorada_granjeira_agricola,area_pastagem,area_plantada,area_ultilizada,area_ultilizada_restricao,areas_restricoes_id,categoria_id,categoria_animal_id,codigo_unidade_exploracao_id,cultura_id,forma_exploracao,granjeira_agricola_id,indicador_geral_de_restricao,lote_id.1,quantidade_animal,quantidade_colhida,sequncia_produto_vegetal,tipo_pastagem,indicador_restricao_granjeira_agricola,idicador_restricao_produto_vegeral,area_geral_item,id.1,nome_categoria,geoid,cod_campo,cod_mun,area.1,perimetro.1,geom,nome_municipio_original,regiao_administrativa,modulo_fiscal
8568,2306553,itarema,0514,2014-07-14 09:30:12.362,2014-07-14 09:30:12.362,FAZENDA GRAVIOLA,0.0,2796991.0,Posse por Simples Ocupação,,,False,ITAREMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITAREMA,LITORAL NORTE,55.0
8597,2306553,itarema,62124,2014-07-14 09:30:12.362,2014-07-14 09:30:12.362,FAZENDA MACACO,0.0,6903533.0,Posse por Simples Ocupação,,,False,ITAREMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITAREMA,LITORAL NORTE,55.0
384530,2300309,acopiara,0032,2017-06-14 12:00:32.150,2017-06-14 12:00:32.150,SITIIO ALAGOAS ACOPIARA VIA CE 06 A 15 KM DA SEDE,41862.2357,14021911.0,Indefinido,,,False,SãO PAULINHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303998.0,0032,2300309.0,1422.551861506673,41862.23566983343,"MULTIPOLYGON (((433548.44700000156 9319364.725000001, 433455.9179999996 9319207.149000002, 433330.6530000018 9319183.919000002, 433139.17500000075 9318786.068, 433055.32100000046 9318746.642, 432864.0159999998 9318527.078, 432749.66000000015 9318266.423, 432715.21200000215 9318185.360000001, 432655.8490000004 9318119.98, 432580.45800000057 9317992.337, 432525.3169999998 9317953.202000001, 431902.4050000021 9318160.757, 432386.83100000024 9319228.137, 433058.035000002 9319208.656, 433506.47899999935 9319418.154000001, 433548.44700000156 9319364.725000001)), ((435931.21700000204 9321723.210000003, 435524.03900000174 9320119.418, 435534.0470000012 9319542.724000003, 435281.7430000007 9319645.256, 435241.1150000002 9319474.586, 435065.91000000015 9319109.184000002, 434834.96700000204 9319385.598000001, 434653.5180000011 9319364.555000002, 434252.97199999914 9319005.13, 434165.5750000002 9319050.866, 433907.5880000023 9319329.68, 433737.61899999995 9319537.324000001, 434001.0309999995 9319753.758, 434083.8400000017 9319878.21, 434494.77300000004 9319825.335000005, 434542.7340000011 9319953.528, 434640.44299999997 9319894.832, 434790.6910000006 9319903.163, 434893.84399999864 9320099.562, 435275.6160000013 9320035.641, 435358.56300000194 9320679.711, 435012.7530000005 9320492.091, 434849.44400000107 9320910.527000003, 435931.21700000204 9321723.210000003)), ((432000.5549999997 9322028.023, 433392.7000000002 9321716.845, 434135.8400000017 9320602.023, 434028.2260000007 9320261.217, 433645.7400000002 9320104.300000003, 434044.6639999999 9319875.882000001, 433058.54600000195 9319225.002000004, 432703.7610000009 9319285.489000002, 432288.8529999992 9319255.036, 432284.8268853426 9319262.878462132, 432297.7068788903 9319286.538462533, 433074.9868887421 9320800.288483994, 432968.29688660987 9320928.728486631, 432932.4168871995 9320967.128486328, 432837.75689534005 9321046.688488575, 432827.7368905861 9321053.018488498, 432719.52688716166 9321084.588489156, 432662.97688495554 9321064.018488603, 432587.7968830457 9321018.838487467, 432543.64688651916 9321043.978488462, 432533.7668815451 9321046.838488402, 432358.0468861554 9321047.62848783, 432323.28687938023 9321040.198488256, 432184.3068844974 9320896.838485729, 432167.6068835128 9320799.488485076, 431930.976872134 9320362.218478117, 431045.1810000008 9320670.651, 431326.83200000226 9320932.453000002, 431423.7700000014 9321143.468000002, 431433.3260000022 9321218.608000001, 431494.5490000015 9321798.482, 431717.7400000002 9321834.074, 431959.66000000015 9321900.797, 431967.1869999999 9321898.089000003, 432000.5549999997 9322028.023)), ((437082.73099999875 9323608.054, 436499.4910000004 9322258.330000004, 436351.6169999996 9322731.953, 436807.93200000096 9323789.479000002, 437082.73099999875 9323608.054)), ((435931.21700000204 9321723.210000003, 434771.3302948503 9320884.595382536, 434459.328999999 9320659.014, 434145.8529999992 9320610.207000002, 433423.9190000016 9321732.659, 433486.82199999876 9321835.279000001, 433494.03100000136 9321859.019, 433547.9510000022 9321958.035, 433666.7750000004 9322072.535000002, 433611.8730000006 9323223.280000001, 433787.2240000013 9323150, 434563.43000000156 9323437.376, 434249.5839999998 9323848.917000001, 434010.59499999974 9324160.191, 434200.90500000026 9324208.281, 434327.53699999955 9323859.702000001, 434358.7700000005 9323927.185, 434493.2429999998 9323930.757, 436178.75900000054 9323592.499, 436342.14800000004 9322727.117000004, 436492.64400000125 9322245.153, 436373.96499999985 9321968.606000004, 435931.21700000204 9321723.210000003)))",ACOPIARA,CENTRO SUL,40.0
408459,2311405,quixeramobim,12321,2019-03-20 09:24:59.272,2019-03-20 09:24:59.272,FAZENDA CONDADO ,,1845253.5,Indefinido,,,False,NENELâNDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUIXERAMOBIM,SERTÃO CENTRAL,50.0
